start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Sunday,11 PM,22395,Carmine St & 6 Ave,3.7,14.6,14 minutes 36 seconds,1.43,5.88,Pier 40 - Hudson River Park
Sunday,12 AM,28002,W 4 St & 7 Ave S,3.5,15.3,15 minutes 18 seconds,1.48,5.8,E 7 St & Ave A
Sunday,12 PM,76693,Central Park S & 6 Ave,3.0,15.4,15 minutes 24 seconds,1.32,5.14,Central Park S & 6 Ave
Sunday,2 AM,14707,Wyckoff Ave & Jefferson St,3.5,15.1,15 minutes 6 seconds,1.49,5.92,E 33 St & 1 Ave
Sunday,2 PM,85580,Central Park S & 6 Ave,3.3,15.9,15 minutes 54 seconds,1.46,5.51,Central Park S & 6 Ave
Sunday,3 AM,10012,10 Ave & W 28 St,3.8,15.2,15 minutes 12 seconds,1.49,5.88,E 31 St & 3 Ave
Sunday,3 PM,86191,Pier 61 at Chelsea Piers,3.4,16.4,16 minutes 24 seconds,1.34,4.9,Central Park West & W 68 St
Sunday,4 AM,6332,53 St & Flushing Ave,3.7,14.9,14 minutes 54 seconds,1.49,6.0,6 Ave & W 34 St
Sunday,4 PM,82821,Central Park West & W 68 St,3.7,16.2,16 minutes 12 seconds,1.32,4.89,Central Park S & 6 Ave
Sunday,5 AM,4693,53 St & Flushing Ave,3.5,13.4,13 minutes 24 seconds,1.47,6.58,1 Ave & E 68 St
Sunday,5 PM,82568,Pier 61 at Chelsea Piers,3.7,15.9,15 minutes 54 seconds,1.33,5.02,10 Ave & W 14 St
Sunday,6 AM,8797,E 81 St & York Ave,2.7,12.6,12 minutes 36 seconds,1.46,6.95,1 Ave & E 68 St
Sunday,6 PM,82405,10 Ave & W 14 St,3.6,15.5,15 minutes 30 seconds,1.31,5.07,Pier 61 at Chelsea Piers
Sunday,7 AM,14632,E 33 St & 1 Ave,3.0,12.4,12 minutes 24 seconds,1.35,6.53,1 Ave & E 68 St
